ecosystem,name,version,direct,dev,purl,manifest
composer,psr/http-factory,1.1.0,false,false,pkg:composer/psr/http-factory@1.1.0,languages/php/project/coolify/composer.lock
composer,psr/http-message,2.0,false,false,pkg:composer/psr/http-message@2.0,languages/php/project/coolify/composer.lock
composer,psr/log,3.0.2,false,false,pkg:composer/psr/log@3.0.2,languages/php/project/coolify/composer.lock
composer,psr/simple-cache,3.0.0,false,false,pkg:composer/psr/simple-cache@3.0.0,languages/php/project/coolify/composer.lock
composer,psy/psysh,v0.12.18,false,false,pkg:composer/psy/psysh@v0.12.18,languages/php/project/coolify/composer.lock
composer,purplepixie/phpdns,2.3.6,true,false,pkg:composer/purplepixie/phpdns@2.3.6,languages/php/project/coolify/composer.lock
composer,pusher/pusher-php-server,7.2.7,true,false,pkg:composer/pusher/pusher-php-server@7.2.7,languages/php/project/coolify/composer.lock
composer,ralouphie/getallheaders,3.0.3,false,false,pkg:composer/ralouphie/getallheaders@3.0.3,languages/php/project/coolify/composer.lock
composer,ramsey/collection,2.1.1,false,false,pkg:composer/ramsey/collection@2.1.1,languages/php/project/coolify/composer.lock
composer,ramsey/uuid,4.9.2,false,false,pkg:composer/ramsey/uuid@4.9.2,languages/php/project/coolify/composer.lock
composer,rector/rector,2.3.0,true,true,pkg:composer/rector/rector@2.3.0,languages/php/project/coolify/composer.lock
composer,resend/resend-laravel,v0.20.0,true,false,pkg:composer/resend/resend-laravel@v0.20.0,languages/php/project/coolify/composer.lock
composer,resend/resend-php,v0.18.1,false,false,pkg:composer/resend/resend-php@v0.18.1,languages/php/project/coolify/composer.lock
composer,sebastian/cli-parser,4.2.0,false,true,pkg:composer/sebastian/cli-parser@4.2.0,languages/php/project/coolify/composer.lock
composer,sebastian/comparator,7.1.3,false,true,pkg:composer/sebastian/comparator@7.1.3,languages/php/project/coolify/composer.lock
composer,sebastian/complexity,5.0.0,false,true,pkg:composer/sebastian/complexity@5.0.0,languages/php/project/coolify/composer.lock
composer,sebastian/diff,7.0.0,false,true,pkg:composer/sebastian/diff@7.0.0,languages/php/project/coolify/composer.lock
