ecosystem,name,version,direct,dev,purl,manifest
npm,@tailwindcss/oxide-linux-arm-gnueabihf,4.1.18,false,true,pkg:npm/%40tailwindcss/oxide-linux-arm-gnueabihf@4.1.18,languages/php/project/coolify/package-lock.json
npm,@tailwindcss/oxide-linux-arm64-gnu,4.1.18,false,true,pkg:npm/%40tailwindcss/oxide-linux-arm64-gnu@4.1.18,languages/php/project/coolify/package-lock.json
npm,@tailwindcss/oxide-linux-arm64-musl,4.1.18,false,true,pkg:npm/%40tailwindcss/oxide-linux-arm64-musl@4.1.18,languages/php/project/coolify/package-lock.json
npm,@tailwindcss/oxide-linux-x64-gnu,4.1.18,false,true,pkg:npm/%40tailwindcss/oxide-linux-x64-gnu@4.1.18,languages/php/project/coolify/package-lock.json
npm,@tailwindcss/oxide-linux-x64-musl,4.1.18,false,true,pkg:npm/%40tailwindcss/oxide-linux-x64-musl@4.1.18,languages/php/project/coolify/package-lock.json
npm,@tailwindcss/oxide-wasm32-wasi,4.1.18,false,true,pkg:npm/%40tailwindcss/oxide-wasm32-wasi@4.1.18,languages/php/project/coolify/package-lock.json
npm,@tailwindcss/oxide-win32-arm64-msvc,4.1.18,false,true,pkg:npm/%40tailwindcss/oxide-win32-arm64-msvc@4.1.18,languages/php/project/coolify/package-lock.json
npm,@tailwindcss/oxide-win32-x64-msvc,4.1.18,false,true,pkg:npm/%40tailwindcss/oxide-win32-x64-msvc@4.1.18,languages/php/project/coolify/package-lock.json
npm,@tailwindcss/postcss,4.1.18,true,true,pkg:npm/%40tailwindcss/postcss@4.1.18,languages/php/project/coolify/package-lock.json
npm,@tailwindcss/typography,0.5.16,true,false,pkg:npm/%40tailwindcss/typography@0.5.16,languages/php/project/coolify/package-lock.json
npm,@types/estree,1.0.8,false,true,pkg:npm/%40types/estree@1.0.8,languages/php/project/coolify/package-lock.json
npm,@types/prismjs,1.26.5,false,true,pkg:npm/%40types/prismjs@1.26.5,languages/php/project/coolify/package-lock.json
npm,@vitejs/plugin-vue,6.0.3,true,true,pkg:npm/%40vitejs/plugin-vue@6.0.3,languages/php/project/coolify/package-lock.json
npm,@vue/compiler-core,3.5.26,false,true,pkg:npm/%40vue/compiler-core@3.5.26,languages/php/project/coolify/package-lock.json
npm,@vue/compiler-dom,3.5.26,false,true,pkg:npm/%40vue/compiler-dom@3.5.26,languages/php/project/coolify/package-lock.json
npm,@vue/compiler-sfc,3.5.26,false,true,pkg:npm/%40vue/compiler-sfc@3.5.26,languages/php/project/coolify/package-lock.json
npm,@vue/compiler-ssr,3.5.26,false,true,pkg:npm/%40vue/compiler-ssr@3.5.26,languages/php/project/coolify/package-lock.json
npm,@vue/reactivity,3.5.26,false,true,pkg:npm/%40vue/reactivity@3.5.26,languages/php/project/coolify/package-lock.json
npm,@vue/runtime-core,3.5.26,false,true,pkg:npm/%40vue/runtime-core@3.5.26,languages/php/project/coolify/package-lock.json
npm,@vue/runtime-dom,3.5.26,false,true,pkg:npm/%40vue/runtime-dom@3.5.26,languages/php/project/coolify/package-lock.json
npm,@vue/server-renderer,3.5.26,false,true,pkg:npm/%40vue/server-renderer@3.5.26,languages/php/project/coolify/package-lock.json
npm,@vue/shared,3.5.26,false,true,pkg:npm/%40vue/shared@3.5.26,languages/php/project/coolify/package-lock.json
npm,@xterm/addon-fit,0.10.0,true,false,pkg:npm/%40xterm/addon-fit@0.10.0,languages/php/project/coolify/docker/coolify-realtime/package-lock.json
npm,@xterm/addon-fit,0.10.0,true,false,pkg:npm/%40xterm/addon-fit@0.10.0,languages/php/project/coolify/package-lock.json
npm,@xterm/xterm,5.5.0,true,false,pkg:npm/%40xterm/xterm@5.5.0,languages/php/project/coolify/docker/coolify-realtime/package-lock.json
npm,@xterm/xterm,5.5.0,true,false,pkg:npm/%40xterm/xterm@5.5.0,languages/php/project/coolify/package-lock.json
npm,asynckit,0.4.0,false,false,pkg:npm/asynckit@0.4.0,languages/php/project/coolify/docker/coolify-realtime/package-lock.json
npm,asynckit,0.4.0,false,true,pkg:npm/asynckit@0.4.0,languages/php/project/coolify/package-lock.json
npm,axios,1.12.0,true,false,pkg:npm/axios@1.12.0,languages/php/project/coolify/docker/coolify-realtime/package-lock.json
npm,axios,1.13.2,true,true,pkg:npm/axios@1.13.2,languages/php/project/coolify/package-lock.json
npm,call-bind-apply-helpers,1.0.2,false,false,pkg:npm/call-bind-apply-helpers@1.0.2,languages/php/project/coolify/docker/coolify-realtime/package-lock.json
npm,call-bind-apply-helpers,1.0.2,false,true,pkg:npm/call-bind-apply-helpers@1.0.2,languages/php/project/coolify/package-lock.json
npm,clsx,2.1.1,false,true,pkg:npm/clsx@2.1.1,languages/php/project/coolify/package-lock.json
npm,cluster-key-slot,1.1.2,false,false,pkg:npm/cluster-key-slot@1.1.2,languages/php/project/coolify/package-lock.json
npm,combined-stream,1.0.8,false,false,pkg:npm/combined-stream@1.0.8,languages/php/project/coolify/docker/coolify-realtime/package-lock.json
npm,combined-stream,1.0.8,false,true,pkg:npm/combined-stream@1.0.8,languages/php/project/coolify/package-lock.json
npm,cookie,1.0.2,true,false,pkg:npm/cookie@1.0.2,languages/php/project/coolify/docker/coolify-realtime/package-lock.json
npm,cssesc,3.0.0,false,false,pkg:npm/cssesc@3.0.0,languages/php/project/coolify/package-lock.json
npm,csstype,3.2.3,false,true,pkg:npm/csstype@3.2.3,languages/php/project/coolify/package-lock.json
npm,debug,4.4.3,false,false,pkg:npm/debug@4.4.3,languages/php/project/coolify/package-lock.json
npm,delayed-stream,1.0.0,false,false,pkg:npm/delayed-stream@1.0.0,languages/php/project/coolify/docker/coolify-realtime/package-lock.json
npm,delayed-stream,1.0.0,false,true,pkg:npm/delayed-stream@1.0.0,languages/php/project/coolify/package-lock.json
npm,denque,2.1.0,false,false,pkg:npm/denque@2.1.0,languages/php/project/coolify/package-lock.json
npm,detect-libc,2.1.2,false,true,pkg:npm/detect-libc@2.1.2,languages/php/project/coolify/package-lock.json
npm,dotenv,16.5.0,true,false,pkg:npm/dotenv@16.5.0,languages/php/project/coolify/docker/coolify-realtime/package-lock.json
npm,dunder-proto,1.0.1,false,false,pkg:npm/dunder-proto@1.0.1,languages/php/project/coolify/docker/coolify-realtime/package-lock.json
npm,dunder-proto,1.0.1,false,true,pkg:npm/dunder-proto@1.0.1,languages/php/project/coolify/package-lock.json
npm,engine.io-client,6.6.4,false,true,pkg:npm/engine.io-client@6.6.4,languages/php/project/coolify/package-lock.json
npm,engine.io-parser,5.2.3,false,true,pkg:npm/engine.io-parser@5.2.3,languages/php/project/coolify/package-lock.json
npm,enhanced-resolve,5.18.4,false,true,pkg:npm/enhanced-resolve@5.18.4,languages/php/project/coolify/package-lock.json
npm,entities,7.0.0,false,true,pkg:npm/entities@7.0.0,languages/php/project/coolify/package-lock.json
npm,es-define-property,1.0.1,false,false,pkg:npm/es-define-property@1.0.1,languages/php/project/coolify/docker/coolify-realtime/package-lock.json
npm,es-define-property,1.0.1,false,true,pkg:npm/es-define-property@1.0.1,languages/php/project/coolify/package-lock.json
npm,es-errors,1.3.0,false,false,pkg:npm/es-errors@1.3.0,languages/php/project/coolify/docker/coolify-realtime/package-lock.json
npm,es-errors,1.3.0,false,true,pkg:npm/es-errors@1.3.0,languages/php/project/coolify/package-lock.json
npm,es-object-atoms,1.1.1,false,false,pkg:npm/es-object-atoms@1.1.1,languages/php/project/coolify/docker/coolify-realtime/package-lock.json
npm,es-object-atoms,1.1.1,false,true,pkg:npm/es-object-atoms@1.1.1,languages/php/project/coolify/package-lock.json
npm,es-set-tostringtag,2.1.0,false,false,pkg:npm/es-set-tostringtag@2.1.0,languages/php/project/coolify/docker/coolify-realtime/package-lock.json
npm,es-set-tostringtag,2.1.0,false,true,pkg:npm/es-set-tostringtag@2.1.0,languages/php/project/coolify/package-lock.json
npm,esbuild,0.27.2,false,true,pkg:npm/esbuild@0.27.2,languages/php/project/coolify/package-lock.json
npm,estree-walker,2.0.2,false,true,pkg:npm/estree-walker@2.0.2,languages/php/project/coolify/package-lock.json
npm,fdir,6.5.0,false,true,pkg:npm/fdir@6.5.0,languages/php/project/coolify/package-lock.json
npm,follow-redirects,1.15.11,false,true,pkg:npm/follow-redirects@1.15.11,languages/php/project/coolify/package-lock.json
npm,follow-redirects,1.15.9,false,false,pkg:npm/follow-redirects@1.15.9,languages/php/project/coolify/docker/coolify-realtime/package-lock.json
npm,form-data,4.0.4,false,false,pkg:npm/form-data@4.0.4,languages/php/project/coolify/docker/coolify-realtime/package-lock.json
